Movement_Type,SAP_Reason_Movement,DELIS_Reason_Code,Partner,Reason_Code_Desc_FR,Reason_Code_Desc_NL,Reason_Code_Desc_EN
,    ,8004,DELIS,»Corr. RETOUR CLIENT,»Corr. TERUGNAME KLANT,
,    ,8011,DELIS,»Corr. Charity -THT-1,»Corr. Charity -THT-1,
,    ,8027,DELIS,»Corr. SESSION REGION.,»Corr. REGION. SESSIE,
,    ,8029,DELIS,»Corr. REEMBALLAGE,»Corr. HERVERPAKKING,
,    ,8030,DELIS,»Corr. VOL,»Corr. DIEFSTAL,
,    ,8031,DELIS,»Corr. DC Deliv-Push Zero Shrink,»Corr. DC Deliv – Push Zero Shrink,»Corr. DC Deliv – Push Zero Shrink
,    ,8036,DELIS,»Corr. PERTES FRI,»Corr. VERLIES FRI,
,    ,8037,DELIS,»Corr. PERTES INONDATIONS,»Corr. VERLIES OVERSTROMING,
,    ,8038,DELIS,»Corr. PERTES - AUTRES,»Corr. VERLIES - ANDERE,
,    ,8044,DELIS,»Corr. CASSE CAMION,»Corr. BREUK TRANSPORT,
,    ,8045,DELIS,»Corr. DLV DATE PASSEE,»Corr. DLV OVER DATUM,
,    ,8049,DELIS,»Corr. Usage pour recette,»Corr. Gebruik voor recept,
,    ,8057,DELIS,»Corr. DESTRUCTION AUTORISEE,»Corr. TOEGELATEN VERNIETIGING,
,    ,8059,DELIS,»Corr. PERIME,»Corr. BUIT. VERVALDAT.,
,    ,8062,DELIS,»Corr. USAGE INTERNE,»Corr. INTERN GEBRUIK,
,    ,8064,DELIS,»Corr. GRATUIT FOURN.,»Corr. GRATIS LEVERANCIER,
,    ,8075,DELIS,»Corr. PERTES & CASSES,»Corr. BREUK & VERLIES,
Y07,8081,81  ,DELIS,Marketing community ,Marketing community ,
Y09,8082,82  ,DELIS,DEGUSTATION,DEGUSTATIE,
